rep,method,n,s,o,d,pct_covered,pct_width,sd_covered,sd_width,expected,thetahat,runtime
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NSBoot,500,0,0,1,0,0.050777274227169045,0,0.052130671968482645,1.8602712632877692,1.873763591439908,2.0979999999999563
1,ASEnonpar,500,0,0,1,1,0.048933954928353174,1,0.050239244720194254,1.8602712632877692,1.873763591439908,2.6760000000001583
1,SONNETnonpar,500,2,0,1,0,0.06855291987500234,0,0.07517681993307601,1.8602712632877692,1.873763591439908,1.5960000000000036
1,SONNETnonpar,500,2,50,1,0,0.0699943908659042,0,0.07119196954413276,1.8602712632877692,1.873763591439908,1.8540000000000418
1,SONNETnonpar,500,2,100,1,0,0.06771836948945165,0,0.06741095340024339,1.8602712632877692,1.873763591439908,1.9329999999999927
1,SONNETnonpar,500,2,250,1,1,0.05942352941176465,1,0.05658028901176326,1.8602712632877692,1.873763591439908,2.8609999999998763
1,SONNETnonpar,500,5,0,1,0,0.11083947886714829,0,0.1155510819227008,1.8602712632877692,1.873763591439908,1.0209999999999582
1,SONNETnonpar,500,5,50,1,0,0.11586122237903562,0,0.12476678057556989,1.8602712632877692,1.873763591439908,1.5480000000000018
1,SONNETnonpar,500,5,100,1,0,0.09854953890725282,0,0.10753154100937135,1.8602712632877692,1.873763591439908,1.9220000000000255
1,SONNETnonpar,500,5,250,1,0,0.06921649982802602,0,0.07529151446886084,1.8602712632877692,1.873763591439908,4.148999999999887
1,SONNETnonpar,500,10,0,1,0,0.16511212265426423,0,0.1694086149929639,1.8602712632877692,1.873763591439908,0.8940000000000055
1,SONNETnonpar,500,10,50,1,0,0.17265253684271142,0,0.19323702949925448,1.8602712632877692,1.873763591439908,1.5330000000001291
1,SONNETnonpar,500,10,100,1,0,0.135974994044751,0,0.1360033083512362,1.8602712632877692,1.873763591439908,2.349999999999909
1,SONNETnonpar,500,10,250,1,0,0.08817441762322265,0,0.08721177468885877,1.8602712632877692,1.873763591439908,6.748000000000047
1,NSBoot,1000,0,0,1,1,0.029193593593593636,1,0.030920062682315397,1.8468156333164742,1.8436636636636636,10.690000000000055
1,ASEnonpar,1000,0,0,1,1,0.020157807807807737,1,0.02338567577610018,1.8468156333164742,1.8436636636636636,12.082999999999856
1,SONNETnonpar,1000,2,0,1,1,0.028737174348697492,1,0.029144098300856403,1.8468156333164742,1.8436636636636636,5.586000000000013
1,SONNETnonpar,1000,2,100,1,1,0.031128580890876112,1,0.03089770701033201,1.8468156333164742,1.8436636636636636,6.016000000000076
1,SONNETnonpar,1000,2,200,1,1,0.03189892877017231,1,0.034134342164766185,1.8468156333164742,1.8436636636636636,7.517000000000053
1,SONNETnonpar,1000,2,500,1,1,0.026033689363595958,1,0.0273584096088606,1.8468156333164742,1.8436636636636636,12.619000000000142
1,SONNETnonpar,1000,5,0,1,0,0.04687286432160809,0,0.04896466067777139,1.8468156333164742,1.8436636636636636,2.5839999999998327
1,SONNETnonpar,1000,5,100,1,0,0.043121038652948585,0,0.04456858318636758,1.8468156333164742,1.8436636636636636,4.0090000000000146
1,SONNETnonpar,1000,5,200,1,0,0.04548678027359565,1,0.05007852980878358,1.8468156333164742,1.8436636636636636,5.95900000000006
1,SONNETnonpar,1000,5,500,1,1,0.031752309404563084,1,0.03401839145233332,1.8468156333164742,1.8436636636636636,18.061999999999898
1,SONNETnonpar,1000,10,0,1,0,0.0876100740202359,0,0.08426167487855896,1.8468156333164742,1.8436636636636636,2.1549999999999727
1,SONNETnonpar,1000,10,100,1,0,0.09196430200797479,0,0.08426208783814415,1.8468156333164742,1.8436636636636636,4.20900000000006
1,SONNETnonpar,1000,10,200,1,0,0.06623962686644203,0,0.062426751245209466,1.8468156333164742,1.8436636636636636,7.282000000000153
1,SONNETnonpar,1000,10,500,1,1,0.037772617161201616,1,0.04070047096925178,1.8468156333164742,1.8436636636636636,30.1400000000001
1,NSBoot,1500,0,0,1,1,0.0180872136980208,1,0.01834125843841461,1.843951228870278,1.835793640204581,29.207000000000107
1,ASEnonpar,1500,0,0,1,1,0.018313698020902658,1,0.01932659370540346,1.843951228870278,1.835793640204581,31.699999999999818
1,SONNETnonpar,1500,2,0,1,1,0.020100880080154315,1,0.020171425188722836,1.843951228870278,1.835793640204581,12.722999999999956
