rep,method,n,s,o,d,type,lower,upper,avg,sd,expected,thetahat
1,SONNETpar,500,2,250,2,pct,6.759969051540127,8.757243239465716,7.436398278671939,0.8004630919454341,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,2,250,2,sd,6.336133948388827,8.750301763466325,7.543217855927576,0.6158704532634646,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,250,2,pct,5.704289124829316,6.884675905456891,6.293868645436931,0.43720125531459164,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,2,250,2,sd,5.64732505324505,6.928303445974784,6.287814249609917,0.32678620700021244,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,0,2,pct,6.939604819107745,9.012860380244591,7.613947886008523,0.6574924128693533,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,0,2,sd,6.642366137987798,8.738314633041899,7.6903403855148484,0.5346905635987895,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,0,2,pct,4.1407803417661535,4.629964501335129,4.379032543522339,0.1478508498687301,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,0,2,sd,4.144030312674091,4.638423416102394,4.391226864388242,0.1261230071899313,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,50,2,pct,6.381607361671085,9.412444701338881,7.667085688399084,1.0602088163839705,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,50,2,sd,6.070220614553567,9.298599465453197,7.684410040003383,0.8235811668899715,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,50,2,pct,4.633649750277726,5.372321111102536,4.930191131287952,0.2309921471907792,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,50,2,sd,4.583275248197057,5.3212953421038724,4.952285295150465,0.18827389169602718,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,100,2,pct,6.520858552213982,9.274560068437843,7.513787998128746,0.8306442985901263,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,100,2,sd,6.180232467314381,9.09379586200755,7.6370141646609655,0.7432696257877661,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,100,2,pct,4.877745811386675,6.018424798529917,5.372091484186026,0.33714831599255124,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,100,2,sd,4.8408613197923325,5.888578402413823,5.364719861103078,0.2672796773016622,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,250,2,pct,6.186597051763888,8.729266645658523,7.505940485823405,0.899726323794237,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,5,250,2,sd,6.278301294055868,8.83365415457518,7.555977724315524,0.6518877083139311,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,250,2,pct,5.4726189868324955,6.660702836774847,6.111743578216925,0.42580253695129233,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,5,250,2,sd,5.479314066237167,6.719516202092354,6.099415134164761,0.316383909510007,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,0,2,pct,6.905276390843765,9.346651750018369,8.03413196550844,0.8674322047707728,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,0,2,sd,6.836359181174189,9.283982282020865,8.060170731597527,0.6244051217658118,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,10,0,2,pct,3.1688218448028134,3.6148405621424056,3.37437797808275,0.1319448404420549,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,10,0,2,sd,3.1636795878543866,3.5869865955140376,3.375333091684212,0.1079884658592309,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,50,2,pct,5.897493427049525,9.714946061933901,7.7372708087837445,1.3707232676920178,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,50,2,sd,5.702389454156248,9.667085515946724,7.684737485051486,1.0114206416708404,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,10,50,2,pct,3.939004009722558,4.750352862771878,4.300877462721036,0.28082317818936264,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,10,50,2,sd,3.9207903008942386,4.69661161340987,4.3087009571520545,0.19791723690721144,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,100,2,pct,6.218797348412891,9.46383597153609,7.5080636781083,1.1988526674566309,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,100,2,sd,5.888336164940365,9.38482605268386,7.636581108812113,0.8919780963638521,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,10,100,2,pct,4.481041779293332,5.369281352474269,4.966114918520687,0.29552466452003134,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,10,100,2,sd,4.504281783642398,5.412726131926444,4.958503957784421,0.2317502656808337,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,250,2,pct,6.471315672315889,8.903741861566555,7.45065577373305,0.9302889331188808,7.3379502980550635,1.6802805611222444
1,SONNETpar,500,10,250,2,sd,6.254590511957204,8.772102763374434,7.513346637665819,0.642234314322877,7.3379502980550635,1.6802805611222444
