rep,method,n,s,o,d,pct_covered,pct_width,sd_covered,sd_width,expected,thetahat,runtime
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NSBoot,500,0,0,2,1,0.10658438820655047,1,0.11072697387818176,1.4071218070334592,1.6967134268537074,0.4170000000000016
1,ASEpar,500,0,0,2,1,0.10132681976726654,1,0.11400566477582563,1.4071218070334592,1.6967134268537074,0.20699999999999363
1,ASEnonpar,500,0,0,2,1,0.09422080836480551,1,0.10175498148947515,1.4071218070334592,1.6967134268537074,0.6910000000000025
1,SONNETpar,500,2,0,2,1,0.11503229472193599,1,0.11840687687668039,1.4071218070334592,1.6967134268537074,0.19599999999999795
1,SONNETnonpar,500,2,0,2,1,0.11693814448626805,1,0.11926780259248959,1.4071218070334592,1.6967134268537074,0.6730000000000018
1,SONNETpar,500,2,50,2,1,0.11334211604216615,1,0.11447372481676954,1.4071218070334592,1.6967134268537074,0.15000000000000568
1,SONNETnonpar,500,2,50,2,1,0.112416984471164,1,0.11002876730481281,1.4071218070334592,1.6967134268537074,0.6980000000000075
1,SONNETpar,500,2,100,2,1,0.10175666991176713,1,0.11177094827768963,1.4071218070334592,1.6967134268537074,0.16600000000001103
1,SONNETnonpar,500,2,100,2,1,0.10595616679308373,1,0.11583636076580417,1.4071218070334592,1.6967134268537074,0.703000000000003
1,SONNETpar,500,2,250,2,1,0.11047688048418158,1,0.11657604926877596,1.4071218070334592,1.6967134268537074,0.1869999999999976
1,SONNETnonpar,500,2,250,2,1,0.10687462475097331,1,0.11242222700996862,1.4071218070334592,1.6967134268537074,0.9440000000000026
1,SONNETpar,500,5,0,2,1,0.09561600314708718,1,0.10147803721905557,1.4071218070334592,1.6967134268537074,0.11899999999999977
1,SONNETnonpar,500,5,0,2,1,0.1350505707509002,1,0.13479942372030074,1.4071218070334592,1.6967134268537074,0.9590000000000032
1,SONNETpar,500,5,50,2,1,0.1353590938522511,1,0.15365249709736162,1.4071218070334592,1.6967134268537074,0.13400000000000034
1,SONNETnonpar,500,5,50,2,1,0.17216730429887916,1,0.16732161699751957,1.4071218070334592,1.6967134268537074,1.1329999999999956
1,SONNETpar,500,5,100,2,1,0.1408379553214394,1,0.1517949298430663,1.4071218070334592,1.6967134268537074,0.17199999999999704
1,SONNETnonpar,500,5,100,2,1,0.1519906763977803,1,0.14729569886301697,1.4071218070334592,1.6967134268537074,1.4829999999999899
1,SONNETpar,500,5,250,2,1,0.1180184116316152,1,0.12372561378961677,1.4071218070334592,1.6967134268537074,0.25
1,SONNETnonpar,500,5,250,2,1,0.11917120851595087,1,0.12974086102163618,1.4071218070334592,1.6967134268537074,1.2120000000000033
1,SONNETpar,500,10,0,2,0,0.10331631333353575,1,0.10613798865448043,1.4071218070334592,1.6967134268537074,0.13799999999999102
1,SONNETnonpar,500,10,0,2,0,0.15326907892569963,0,0.14510464099454934,1.4071218070334592,1.6967134268537074,1.1370000000000005
1,SONNETpar,500,10,50,2,1,0.18148850555190288,1,0.192448200891278,1.4071218070334592,1.6967134268537074,0.16100000000000136
1,SONNETnonpar,500,10,50,2,1,0.19000986835372324,1,0.18973907775343823,1.4071218070334592,1.6967134268537074,1.445999999999998
