rep,method,n,s,o,d,type,lower,upper,avg,sd,expected,thetahat
1,SONNETnonpar,500,10,250,2,sd,0.30068121067972403,0.3452003553454916,0.3229407830126078,0.011357133349625025,0.32000000000000006,0.324
2,NSBoot,500,0,0,2,pct,0.2977847695390782,0.33615511022044087,0.3153787575150301,0.015036072144288593,0.32000000000000006,0.3149018036072144
2,NSBoot,500,0,0,2,sd,0.295891494325468,0.3350880647927684,0.3154897795591182,0.009999308858856071,0.32000000000000006,0.3149018036072144
2,ASEpar,500,0,0,2,pct,0.2963976812779515,0.33156208405019955,0.3147637019517794,0.01021444035864566,0.32000000000000006,0.3149018036072144
2,ASEpar,500,0,0,2,sd,0.29461594612734293,0.33260019114631784,0.3136080686368304,0.009690036479902138,0.32000000000000006,0.3149018036072144
2,ASEWeighted,500,0,0,2,pct,0.29552956495183325,0.3298521584439161,0.3139872761064739,0.014190787578387154,0.32000000000000006,0.3149018036072144
2,ASEWeighted,500,0,0,2,sd,0.2965067756752966,0.3324742327466247,0.31449050421096064,0.009175540304575704,0.32000000000000006,0.3149018036072144
2,ASEnonpar,500,0,0,2,pct,0.29250941883767534,0.3333482965931863,0.31241282565130263,0.012765531062124247,0.32000000000000006,0.3149018036072144
2,ASEnonpar,500,0,0,2,sd,0.2931352969215265,0.3335806950624415,0.313357995991984,0.010317893201085096,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,0,2,pct,0.2972380141489771,0.32970339067669074,0.3155906188198944,0.011182828330298544,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,0,2,sd,0.29740459381305057,0.3311006644230043,0.3142526291180274,0.008596094335340868,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,0,2,pct,0.296930923007638,0.33314292794628314,0.3147733745234515,0.011203450072958476,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,0,2,sd,0.29624962148148415,0.3333170743678743,0.3147833479246792,0.009456156638278423,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,0,2,pct,0.29488273092369477,0.33332128514056225,0.312859437751004,0.013662650602409676,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,0,2,sd,0.29346169627389107,0.33508770131647037,0.3142746987951807,0.010619073965368729,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,50,2,pct,0.29776149657323503,0.33432338878392065,0.3162268446169436,0.0120846726833303,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,50,2,sd,0.2984034897540278,0.3328295044651997,0.31561649710961376,0.008782307986962999,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,50,2,pct,0.2992182324098209,0.33233656939194267,0.3148526296454817,0.013387230737559042,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,50,2,sd,0.29666723600447303,0.33344820953656923,0.31505772277052113,0.009383073827432505,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,50,2,pct,0.2976695421366954,0.3312883211678832,0.31416058394160584,0.01490378234903783,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,50,2,sd,0.2956337425602686,0.3333862972539318,0.3145100199071002,0.009630930718995493,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,100,2,pct,0.29369781083084456,0.32909083678953965,0.3148558789273048,0.014450528936269635,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,100,2,sd,0.29523288422149807,0.33345117827208903,0.31434203124679355,0.009749743962657462,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,100,2,pct,0.2976437339403701,0.33179154332195315,0.3142655453850584,0.013846483461958603,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,100,2,sd,0.29427199438845403,0.3340862698653467,0.31417913212690035,0.01015688956300795,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,100,2,pct,0.2962363433667782,0.33370735785953176,0.31354515050167225,0.014607023411371267,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,100,2,sd,0.29325645901532776,0.3353279334038473,0.31429219620958754,0.010732716192841796,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,250,2,pct,0.29361335517252496,0.3359462720353992,0.3168374273214492,0.015896347442330594,0.32000000000000006,0.3149018036072144
2,SONNETpar,500,2,250,2,sd,0.29369227682614996,0.33653659330464303,0.3151144350653965,0.010929873410032947,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,250,2,pct,0.3010772054095483,0.33437244767790597,0.313656608915123,0.011874974171926012,0.32000000000000006,0.3149018036072144
2,SONNETWeighted,500,2,250,2,sd,0.29797821303530975,0.3325141447186459,0.3152461788769778,0.008810348546134305,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,250,2,pct,0.2978907308377896,0.3350534759358289,0.3145882352941176,0.012504456327985802,0.32000000000000006,0.3149018036072144
2,SONNETnonpar,500,2,250,2,sd,0.2963133993884602,0.3361067075634115,0.31621005347593584,0.010151540663204993,0.32000000000000006,0.3149018036072144
