rep,method,n,s,o,d,pct_covered,pct_width,sd_covered,sd_width,expected,thetahat,runtime
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NSBoot,500,0,0,2,1,0.035429659318637285,1,0.04011337037810292,0.32000000000000006,0.324,0.08199999999987995
1,ASEpar,500,0,0,2,1,0.04188944343963502,1,0.04124959028243358,0.32000000000000006,0.324,0.3560000000002219
1,ASEWeighted,500,0,0,2,1,0.036935593860285276,1,0.03973593283203247,0.32000000000000006,0.324,0.13999999999987267
1,ASEnonpar,500,0,0,2,1,0.035189579158316664,1,0.03898232852469341,0.32000000000000006,0.324,0.4600000000000364
1,SONNETpar,500,2,0,2,1,0.036736187501547946,1,0.03896154833838461,0.32000000000000006,0.324,0.1230000000000473
1,SONNETWeighted,500,2,0,2,1,0.037096674599484625,1,0.042509026644766856,0.32000000000000006,0.324,0.11100000000033106
1,SONNETnonpar,500,2,0,2,1,0.041771084337349385,1,0.04171069582019338,0.32000000000000006,0.324,0.4810000000002219
1,SONNETpar,500,2,50,2,1,0.03701650092154668,1,0.04044723570711273,0.32000000000000006,0.324,0.062000000000352884
1,SONNETWeighted,500,2,50,2,1,0.03370476583258791,1,0.036501475911505654,0.32000000000000006,0.324,0.6739999999999782
1,SONNETnonpar,500,2,50,2,1,0.044096549435965526,1,0.046327159662148065,0.32000000000000006,0.324,0.5029999999997017
1,SONNETpar,500,2,100,2,1,0.042108315408197705,1,0.04450979169718705,0.32000000000000006,0.324,0.09400000000005093
1,SONNETWeighted,500,2,100,2,1,0.03768263800120564,1,0.0388746147352409,0.32000000000000006,0.324,0.09300000000030195
1,SONNETnonpar,500,2,100,2,1,0.045698160535117105,1,0.045736005203866226,0.32000000000000006,0.324,0.6130000000002838
1,SONNETpar,500,2,250,2,1,0.038368202941471974,1,0.03946713610171637,0.32000000000000006,0.324,0.0660000000002583
1,SONNETWeighted,500,2,250,2,1,0.03916500039555865,1,0.04016229758914858,0.32000000000000006,0.324,0.14600000000018554
1,SONNETnonpar,500,2,250,2,1,0.03640499108734396,1,0.03640493494936481,0.32000000000000006,0.324,0.4490000000000691
1,SONNETpar,500,5,0,2,1,0.03929383640666395,1,0.04057239111458011,0.32000000000000006,0.324,0.05400000000008731
1,SONNETWeighted,500,5,0,2,1,0.03611973777396771,1,0.04065619021864442,0.32000000000000006,0.324,0.06300000000010186
1,SONNETnonpar,500,5,0,2,1,0.036170707070707075,1,0.03820187180154977,0.32000000000000006,0.324,0.15200000000004366
1,SONNETpar,500,5,50,2,1,0.0476522810499983,1,0.052992158717270144,0.32000000000000006,0.324,0.05900000000019645
1,SONNETWeighted,500,5,50,2,1,0.044031812001443627,1,0.04541926738439683,0.32000000000000006,0.324,0.07099999999991269
1,SONNETnonpar,500,5,50,2,1,0.0595729701952723,1,0.05771535478762302,0.32000000000000006,0.324,0.21900000000005093
1,SONNETpar,500,5,100,2,1,0.04845261457022504,1,0.04918266464332932,0.32000000000000006,0.324,0.06300000000010186
1,SONNETWeighted,500,5,100,2,1,0.043965274606154736,1,0.04885357304779836,0.32000000000000006,0.324,0.45499999999992724
1,SONNETnonpar,500,5,100,2,1,0.04173587833643694,1,0.050429958472427705,0.32000000000000006,0.324,0.4630000000001928
1,SONNETpar,500,5,250,2,1,0.045249206551920995,1,0.048427050921962866,0.32000000000000006,0.324,0.07000000000016371
1,SONNETWeighted,500,5,250,2,1,0.03426856960085595,1,0.03551505048025405,0.32000000000000006,0.324,0.13100000000031287
1,SONNETnonpar,500,5,250,2,1,0.047917948717948744,1,0.0455346250856532,0.32000000000000006,0.324,0.7599999999997635
1,SONNETpar,500,10,0,2,1,0.036581837512154936,1,0.038897212882234244,0.32000000000000006,0.324,0.05600000000004002
1,SONNETWeighted,500,10,0,2,1,0.04031829028088357,1,0.043361355719692796,0.32000000000000006,0.324,0.05999999999994543
1,SONNETnonpar,500,10,0,2,1,0.03984693877551021,1,0.043860212790148845,0.32000000000000006,0.324,0.1750000000001819
1,SONNETpar,500,10,50,2,1,0.06728203731875898,1,0.06822877697874274,0.32000000000000006,0.324,0.05999999999994543
1,SONNETWeighted,500,10,50,2,1,0.06802628641288677,1,0.06309784001912722,0.32000000000000006,0.324,0.07100000000036744
1,SONNETnonpar,500,10,50,2,1,0.07435218365061591,1,0.0741085729310712,0.32000000000000006,0.324,0.23900000000003274
1,SONNETpar,500,10,100,2,1,0.04931655602943208,1,0.05654790170234192,0.32000000000000006,0.324,0.06700000000000728
1,SONNETWeighted,500,10,100,2,1,0.055818491583706165,1,0.06368765037191515,0.32000000000000006,0.324,0.10300000000006548
1,SONNETnonpar,500,10,100,2,1,0.06109455292908533,1,0.06559215457581347,0.32000000000000006,0.324,0.4830000000001746
1,SONNETpar,500,10,250,2,1,0.04927681062069611,1,0.04936103043816065,0.32000000000000006,0.324,0.10100000000011278
1,SONNETWeighted,500,10,250,2,1,0.029839656986608953,1,0.032581613019279754,0.32000000000000006,0.324,0.7909999999997126
1,SONNETnonpar,500,10,250,2,1,0.042580822826808196,1,0.04451914466576756,0.32000000000000006,0.324,1.206000000000131
2,NSBoot,500,0,0,2,1,0.03837034068136269,1,0.03919657046730041,0.32000000000000006,0.3149018036072144,0.07600000000002183
2,ASEpar,500,0,0,2,1,0.03516440277224803,1,0.037984245018974905,0.32000000000000006,0.3149018036072144,0.06899999999995998
2,ASEWeighted,500,0,0,2,1,0.03432259349208283,1,0.03596745707132809,0.32000000000000006,0.3149018036072144,0.4810000000002219
2,ASEnonpar,500,0,0,2,1,0.04083887775551098,1,0.04044539814091497,0.32000000000000006,0.3149018036072144,0.40599999999994907
2,SONNETpar,500,2,0,2,1,0.03246537652771364,1,0.03369607060995372,0.32000000000000006,0.3149018036072144,0.068000000000211
2,SONNETWeighted,500,2,0,2,1,0.036212004938645126,1,0.03706745288639013,0.32000000000000006,0.3149018036072144,0.09999999999990905
2,SONNETnonpar,500,2,0,2,1,0.03843855421686748,1,0.041626005042579295,0.32000000000000006,0.3149018036072144,0.5189999999997781
2,SONNETpar,500,2,50,2,1,0.03656189221068562,1,0.034426014711171904,0.32000000000000006,0.3149018036072144,0.0660000000002583
2,SONNETWeighted,500,2,50,2,1,0.0331183369821218,1,0.036780973532096195,0.32000000000000006,0.3149018036072144,0.10500000000001819
2,SONNETnonpar,500,2,50,2,1,0.03361877903118782,1,0.03775255469366323,0.32000000000000006,0.3149018036072144,0.20000000000027285
2,SONNETpar,500,2,100,2,1,0.03539302595869509,1,0.03821829405059096,0.32000000000000006,0.3149018036072144,0.06500000000005457
2,SONNETWeighted,500,2,100,2,1,0.03414780938158307,1,0.03981427547689265,0.32000000000000006,0.3149018036072144,0.47299999999995634
2,SONNETnonpar,500,2,100,2,1,0.037471014492753585,1,0.04207147438851955,0.32000000000000006,0.3149018036072144,0.38499999999976353
2,SONNETpar,500,2,250,2,1,0.042332916862874215,1,0.04284431647849307,0.32000000000000006,0.3149018036072144,0.08100000000013097
2,SONNETWeighted,500,2,250,2,1,0.03329524226835767,1,0.03453593168333613,0.32000000000000006,0.3149018036072144,0.5410000000001673
2,SONNETnonpar,500,2,250,2,1,0.037162745098039296,1,0.0397933081749513,0.32000000000000006,0.3149018036072144,0.5900000000001455
2,SONNETpar,500,5,0,2,1,0.03436228597619595,1,0.03635237022140403,0.32000000000000006,0.3149018036072144,0.07400000000006912
2,SONNETWeighted,500,5,0,2,1,0.039513444391205965,1,0.04070237206020866,0.32000000000000006,0.3149018036072144,0.07300000000032014
2,SONNETnonpar,500,5,0,2,1,0.03507878787878782,1,0.034257806015108194,0.32000000000000006,0.3149018036072144,0.15999999999985448
2,SONNETpar,500,5,50,2,1,0.05180037243194524,1,0.04993158872611059,0.32000000000000006,0.3149018036072144,0.06999999999970896
2,SONNETWeighted,500,5,50,2,1,0.048352717750204,1,0.051048564043769784,0.32000000000000006,0.3149018036072144,0.08699999999998909
2,SONNETnonpar,500,5,50,2,1,0.050288797533401874,1,0.04858067553814027,0.32000000000000006,0.3149018036072144,0.39099999999962165
2,SONNETpar,500,5,100,2,1,0.04315043662240431,1,0.04948539191934709,0.32000000000000006,0.3149018036072144,0.07000000000016371
2,SONNETWeighted,500,5,100,2,1,0.043858458178104576,1,0.0475935375118105,0.32000000000000006,0.3149018036072144,0.11099999999987631
2,SONNETnonpar,500,5,100,2,1,0.04572191185598995,1,0.04577812800665548,0.32000000000000006,0.3149018036072144,0.47400000000016007
2,SONNETpar,500,5,250,2,1,0.04684026363631988,1,0.04620353629153673,0.32000000000000006,0.3149018036072144,0.1459999999997308
2,SONNETWeighted,500,5,250,2,1,0.03248978629675475,1,0.031573977924202246,0.32000000000000006,0.3149018036072144,0.8490000000001601
2,SONNETnonpar,500,5,250,2,1,0.04494838350055741,1,0.05074152731984838,0.32000000000000006,0.3149018036072144,0.6570000000001528
2,SONNETpar,500,10,0,2,1,0.04045798746794871,1,0.04313124031826787,0.32000000000000006,0.3149018036072144,0.06400000000030559
2,SONNETWeighted,500,10,0,2,1,0.0380527333252868,1,0.041911754592693806,0.32000000000000006,0.3149018036072144,0.07899999999972351
2,SONNETnonpar,500,10,0,2,1,0.0396897959183673,1,0.040421252201094715,0.32000000000000006,0.3149018036072144,0.18999999999959982
2,SONNETpar,500,10,50,2,1,0.060539668465246166,1,0.06391990565980787,0.32000000000000006,0.3149018036072144,0.06999999999970896
2,SONNETWeighted,500,10,50,2,1,0.053327256810885404,1,0.058632454225210795,0.32000000000000006,0.3149018036072144,0.08100000000013097
2,SONNETnonpar,500,10,50,2,1,0.06077827547592385,1,0.06806346583972323,0.32000000000000006,0.3149018036072144,0.4790000000002692
2,SONNETpar,500,10,100,2,1,0.06168953419558454,1,0.06688938145886647,0.32000000000000006,0.3149018036072144,0.09899999999970532
2,SONNETWeighted,500,10,100,2,1,0.04920568034652878,1,0.051073884938890646,0.32000000000000006,0.3149018036072144,0.13299999999981083
2,SONNETnonpar,500,10,100,2,1,0.059814234326824256,1,0.06499732764337607,0.32000000000000006,0.3149018036072144,0.4940000000001419
2,SONNETpar,500,10,250,2,1,0.053538836268473944,1,0.05871631346285511,0.32000000000000006,0.3149018036072144,0.11799999999993815
2,SONNETWeighted,500,10,250,2,1,0.03414113854684031,1,0.036171356528334364,0.32000000000000006,0.3149018036072144,0.7789999999999964
2,SONNETnonpar,500,10,250,2,1,0.04942163238221631,1,0.05134238185747508,0.32000000000000006,0.3149018036072144,1.2730000000001382
3,NSBoot,500,0,0,2,1,0.03816633266533059,1,0.037848037094865616,0.32000000000000006,0.3025971943887776,0.07400000000006912
3,ASEpar,500,0,0,2,1,0.035448743219815004,1,0.0359932335692601,0.32000000000000006,0.3025971943887776,0.06099999999969441
3,ASEWeighted,500,0,0,2,0,0.033657671045077775,0,0.03412735651499532,0.32000000000000006,0.3025971943887776,0.525000000000091
3,ASEnonpar,500,0,0,2,1,0.037410420841683334,1,0.03980623813575601,0.32000000000000006,0.3025971943887776,0.2319999999999709
3,SONNETpar,500,2,0,2,0,0.038372079042893636,1,0.04205198101959051,0.32000000000000006,0.3025971943887776,0.06400000000030559
3,SONNETWeighted,500,2,0,2,1,0.040410153351081,1,0.042726743716526294,0.32000000000000006,0.3025971943887776,0.06999999999970896
3,SONNETnonpar,500,2,0,2,0,0.03349518072289154,1,0.0362979120910365,0.32000000000000006,0.3025971943887776,0.375
3,SONNETpar,500,2,50,2,1,0.03691241561208014,1,0.03826681705098334,0.32000000000000006,0.3025971943887776,0.06199999999989814
3,SONNETWeighted,500,2,50,2,0,0.03248618611326004,0,0.03349841858354208,0.32000000000000006,0.3025971943887776,0.13300000000026557
3,SONNETnonpar,500,2,50,2,0,0.03424518911745189,0,0.037078973809893556,0.32000000000000006,0.3025971943887776,0.4270000000001346
3,SONNETpar,500,2,100,2,1,0.03787812203475338,1,0.041311922118316025,0.32000000000000006,0.3025971943887776,0.1269999999999527
3,SONNETWeighted,500,2,100,2,1,0.036828438092814,1,0.03911961927070884,0.32000000000000006,0.3025971943887776,0.09799999999995634
3,SONNETnonpar,500,2,100,2,1,0.03739966555183949,1,0.04193179344306308,0.32000000000000006,0.3025971943887776,0.21900000000005093
3,SONNETpar,500,2,250,2,1,0.037969548815109555,0,0.03783503833627044,0.32000000000000006,0.3025971943887776,0.06599999999980355
3,SONNETWeighted,500,2,250,2,0,0.02900515976132484,0,0.030033557564911884,0.32000000000000006,0.3025971943887776,0.11900000000014188
3,SONNETnonpar,500,2,250,2,1,0.0413864527629233,1,0.044828795465024274,0.32000000000000006,0.3025971943887776,0.2719999999999345
3,SONNETpar,500,5,0,2,1,0.03271040221614119,1,0.03685595812024445,0.32000000000000006,0.3025971943887776,0.05300000000033833
3,SONNETWeighted,500,5,0,2,1,0.03620428977693163,1,0.03662031793275844,0.32000000000000006,0.3025971943887776,0.06700000000000728
3,SONNETnonpar,500,5,0,2,1,0.0406686868686868,1,0.044000800056614664,0.32000000000000006,0.3025971943887776,0.15100000000029468
3,SONNETpar,500,5,50,2,1,0.048634613582310526,1,0.047459862780665385,0.32000000000000006,0.3025971943887776,0.06000000000040018
