rep,method,n,s,o,d,type,lower,upper,avg,sd,expected,thetahat
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NSBoot,500,0,0,2,pct,5.434980689334482,6.423881147009965,5.963880870328729,0.37287650377162507,7.351459147644452,1.6772825651302605
1,NSBoot,500,0,0,2,sd,5.437219277105801,6.513935295163418,5.97557728613461,0.2746775008496625,7.351459147644452,1.6772825651302605
1,ASEpar,500,0,0,2,pct,6.407954334193059,8.356307128040616,7.1130850115749995,0.5757431199807126,7.351459147644452,1.6772825651302605
1,ASEpar,500,0,0,2,sd,6.2519590306590205,8.082517470412158,7.167238250535589,0.4669877748245246,7.351459147644452,1.6772825651302605
1,ASEnonpar,500,0,0,2,pct,5.663598263231394,6.890363827689207,6.252633633794641,0.4510030698844183,7.351459147644452,1.6772825651302605
1,ASEnonpar,500,0,0,2,sd,5.585511559906113,6.899349570052328,6.2424305649792204,0.33516891649785463,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,0,2,pct,6.3400704287101854,7.912783357771875,7.074344347205406,0.607990555258505,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,0,2,sd,6.313152796721052,7.983969121214743,7.148560958967898,0.42623648640303535,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,0,2,pct,5.199715725625492,6.226040842416957,5.634985367957949,0.37771576529918427,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,0,2,sd,5.091363320669424,6.1925946724404275,5.641978996554926,0.28093152743044697,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,50,2,pct,6.5227928928625305,8.206424409551165,7.168627832258315,0.5366406878093457,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,50,2,sd,6.334354573439037,8.070136196741375,7.202245385090206,0.4428095712456869,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,50,2,pct,5.287371304997647,6.4762423603043775,5.732691909593713,0.46185501977127874,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,50,2,sd,5.145428703234387,6.402052098922198,5.7737404010782925,0.32057308338313745,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,100,2,pct,6.447012986153,8.386879148014733,7.265008401338125,0.8449377239923139,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,100,2,sd,6.210736303976525,8.401504529233772,7.3061204166051485,0.5588797147645947,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,100,2,pct,5.3209966966730295,6.47931642384914,5.897046755414491,0.4457056077354826,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,100,2,sd,5.298243404863392,6.4990907787955745,5.898667091829483,0.30634424494641604,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,250,2,pct,6.382050577428888,7.8127804695337595,7.149323317028499,0.5181299267859334,7.351459147644452,1.6772825651302605
1,SONNETpar,500,2,250,2,sd,6.396822477785327,7.886723354732195,7.141772916258761,0.3800837384510676,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,250,2,pct,5.518261323184335,6.737329177318303,6.06839412527315,0.37171417140262264,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,2,250,2,sd,5.479731229604609,6.714254181677654,6.0969927056411315,0.3149351115150084,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,0,2,pct,6.442321379707408,8.423268163887414,7.3307935676027025,0.583197339904161,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,0,2,sd,6.405588336645258,8.344629612460242,7.3751089745527505,0.49466247622657744,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,0,2,pct,4.100239771497146,4.602114647074669,4.357417429788823,0.16787121013390038,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,0,2,sd,4.096980092058445,4.62036241810136,4.358671255079902,0.13351835293181086,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,50,2,pct,6.292035529375905,8.399982848233083,7.132360221380631,0.8667177519635372,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,50,2,sd,5.989335329854143,8.338367755384182,7.163851542619162,0.5992539771288933,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,50,2,pct,4.559722629338458,5.2927607162160495,4.895237906293454,0.28036156467935136,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,50,2,sd,4.505974188275846,5.314273103133593,4.9101236457047195,0.2062024917890088,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,100,2,pct,6.504705978048531,8.263134391991063,7.261027452450989,0.7778678590456769,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,100,2,sd,6.229536839223592,8.33255118130207,7.281044010262832,0.5364931087169938,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,100,2,pct,4.86149444766555,5.857856720908368,5.320892788555929,0.28420474539515617,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,100,2,sd,4.7868222875468955,5.865404254070626,5.326113270808761,0.2751535168583318,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,250,2,pct,6.219117727672524,8.198819439886359,7.088060590365915,0.641605488187464,7.351459147644452,1.6772825651302605
1,SONNETpar,500,5,250,2,sd,6.14913862603947,8.07593209796471,7.11253536200209,0.49153797904541674,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,250,2,pct,5.275576251412618,6.406271095395037,5.873523530749209,0.4769627972981034,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,5,250,2,sd,5.242338506837369,6.48880076524601,5.865569636041689,0.31798090889439223,7.351459147644452,1.6772825651302605
1,SONNETpar,500,10,0,2,pct,6.714153248091055,8.577904132113368,7.467974505625369,0.6338782436661932,7.351459147644452,1.6772825651302605
1,SONNETpar,500,10,0,2,sd,6.608313449761952,8.472928793045414,7.540621121403683,0.4756759200657029,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,10,0,2,pct,3.160005880030111,3.56235959438664,3.385088111705885,0.14252581132230757,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,10,0,2,sd,3.172216837414823,3.582483527710028,3.3773501825624255,0.10466179315827642,7.351459147644452,1.6772825651302605
1,SONNETpar,500,10,50,2,pct,5.783430472834299,9.195305419210044,7.2014952015726195,1.2319801687875875,7.351459147644452,1.6772825651302605
1,SONNETpar,500,10,50,2,sd,5.626932970131974,9.021697694549468,7.3243153323407215,0.8660273227454603,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,10,50,2,pct,3.8804893408556502,4.7012798991599665,4.264388096846625,0.30535211262110895,7.351459147644452,1.6772825651302605
1,SONNETnonpar,500,10,50,2,sd,3.8449830094569943,4.701967372957242,4.273475191207118,0.2186224773159177,7.351459147644452,1.6772825651302605
